landmark index,distance to wrist
13,0.237751723754139
14,0.27819352035409906
15,0.24906700194825337
16,0.2129488209164423
17,0.24170097553333256
18,0.2930504436852284
19,0.2707949725506307
20,0.2397505095583961
1,0.15565075949396665
2,0.2769079060190335
3,0.3813761958341324
4,0.4702389286806035
5,0.2632053327011994
6,0.31977082091800674
7,0.29032112102534097
8,0.25837372357992705
9,0.2325180455684418
10,0.2742774952220965
11,0.2437391058034674
12,0.20871961147830576
13,0.21134759343659462
14,0.2285966094700545
15,0.19958201080901714
16,0.16459289709819924
17,0.2065531116837923
18,0.20587246424846675
19,0.1778202432885469
20,0.1533459643809716
1,0.1320747144436459
2,0.23289481531116352
3,0.306548661290693
4,0.3828645349140891
5,0.17242404123663665
6,0.19979895193353184
7,0.21040844064605504
8,0.205299713291083
9,0.11996946167132864
10,0.1250855884702513
11,0.14314950780296098
12,0.14368801137027373
13,0.10347528016048342
14,0.08876134745605634
15,0.09661221343722422
16,0.09299290378895506
17,0.12455996904169021
18,0.10403576323703963
19,0.0964771915881663
20,0.09634150638716303
